Categoria;HTO;Precursor_PT;Precursor_EN;WeakSignal;Report;Text
Humano;descumprimento de procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operation described above was characterized as a critical non-conformity with regard to 
standard operational and process procedures, determining the cause of the accident."
Humano;não seguiu o procedimento/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operation described above was characterized as a critical non-conformity with regard to 
standard operational and process procedures, determining the cause of the accident."
Humano;descumprimento de procedimento/did not follow procedure;não seguiu o procedimento;did not follow procedure;procedure not fully followed (0.57);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"This procedure could only have been performed after previously emptying the 
tank, also followed by isolation of the."
Humano;pressão por produtividade/non compliance with procedure;descumprimento de procedimento;non compliance with procedure;procedure not fully followed (0.50);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"Bearing in mind the conclusions presented, the ANP/DPC Commission of Investigation 
recommends that the following procedures should be adopted:"
Organizacional;falha na análise de risco/production pressure;pressão por produtividade;production pressure;pressure drop in critical line (0.52);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"At 12:22 a.m. on March 15, upon reaching a pressure of around 10 bar, described by the 
Petrobras technical team as the failure pressure, the tank ruptured, releasing water, oil and gas 
to the inside of the column."
Organizacional;revisão técnica ausente/failure in risk assessment;falha na análise de risco;failure in risk assessment;hazard label unreadable (0.51);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"Since the third and fourth level areas were not classified as a risk zone, as shown on the 
engineering drawings DE-3010.38-5400-947-AMK-120 Rev."
Organizacional;revisão técnica ausente/technical review missing;revisão técnica ausente;technical review missing;safety checks performed superficially (0.54);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The investigation performed on the accident with the platform P-36 led to the identification of 
non conformities with respect to standard operational, maintenance and engineering design 
procedures."
Organizacional;procedimento desatualizado/technical review missing;revisão técnica ausente;technical review missing;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The investigation performed on the accident with the platform P-36 led to the identification of 
non conformities with respect to standard operational, maintenance and engineering design 
procedures."
Organizacional;procedimento desatualizado/outdated procedure;procedimento desatualizado;outdated procedure;incomplete job safety analysis (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operation described above was characterized as a critical non-conformity with regard to 
standard operational and process procedures, determining the cause of the accident."
Organizacional;manutenção preventiva/outdated procedure;procedimento desatualizado;outdated procedure;procedure not fully followed (0.53);Analysis_of_the_Accident_with_the_Platform_P-36.pdf;"The operation described above was characterized as a critical non-conformity with regard to 
standard operational and process procedures, determining the cause of the accident."
